rincom91,age,educ,hrs1,sex,degree,satjob,impjob,agecat4
Over 25K,43.0,10,56.0,Male,Less than HS,Very satisfied,Very important,40-49
Over 25K,46.0,12,50.0,Male,High school,Mod satisfied,One of most important,40-49
Over 25K,37.0,12,60.0,Male,High school,Very satisfied,One of most important,30-39
Over 25K,52.0,6,45.0,Male,Less than HS,Very satisfied,Very important,50+
Under 25K,25.0,12,48.0,Male,High school,Very satisfied,One of most important,18-29
Over 25K,46.0,12,40.0,Male,High school,Very satisfied,Very important,40-49
Under 25K,38.0,11,48.0,Male,High school,Very satisfied,Somewhat important,30-39
Under 25K,23.0,14,40.0,Male,High school,A little dissatisfied,One of most important,18-29
Over 25K,59.0,16,40.0,Female,Bachelor,Very satisfied,One of most important,50+
Under 25K,47.0,13,56.0,Male,High school,Mod satisfied,Very important,40-49
Under 25K,35.0,11,35.0,Male,Less than HS,Very dissatisfied,Very important,30-39
Under 25K,44.0,12,40.0,Female,High school,Very satisfied,One of most important,40-49
Under 25K,38.0,14,40.0,Female,Junior college,Very satisfied,Very important,30-39
Under 25K,36.0,18,40.0,Female,Graduate,Very satisfied,Very important,30-39
Over 25K,43.0,13,52.0,Male,High school,Very satisfied,Very important,40-49
Under 25K,25.0,14,50.0,Male,High school,A little dissatisfied,Very important,18-29
Over 25K,35.0,13,65.0,Male,High school,Very satisfied,One of most important,30-39
Over 25K,51.0,13,60.0,Female,High school,Very satisfied,One of most important,50+
Under 25K,58.0,12,40.0,Female,High school,Very satisfied,One of most important,50+
Under 25K,40.0,12,44.0,Female,High school,Mod satisfied,Very important,40-49
Under 25K,53.0,13,35.0,Female,High school,Very satisfied,Very important,50+
Over 25K,38.0,14,40.0,Female,Junior college,Mod satisfied,Very important,30-39
Under 25K,58.0,12,40.0,Male,High school,Very satisfied,One of most important,50+
Under 25K,45.0,13,45.0,Female,High school,Mod satisfied,Somewhat important,40-49
Under 25K,20.0,12,42.0,Male,High school,Mod satisfied,Very important,18-29
Under 25K,39.0,14,40.0,Male,Junior college,Very satisfied,Very important,30-39
Under 25K,51.0,0,20.0,Female,Less than HS,Very satisfied,Very important,50+
Over 25K,78.0,18,40.0,Female,Bachelor,Very satisfied,One of most important,50+
Under 25K,25.0,12,40.0,Female,High school,A little dissatisfied,Very important,18-29
Over 25K,36.0,19,42.0,Male,Graduate,Mod satisfied,Very important,30-39
Under 25K,40.0,12,35.0,Female,High school,Very satisfied,Very important,40-49
Under 25K,31.0,12,47.0,Female,High school,Mod satisfied,Very important,30-39
Under 25K,51.0,16,40.0,Female,Bachelor,Very satisfied,Somewhat important,50+
Under 25K,37.0,17,40.0,Male,Bachelor,Mod satisfied,One of most important,30-39
Over 25K,47.0,16,60.0,Male,Bachelor,Very dissatisfied,Somewhat important,40-49
Over 25K,64.0,12,40.0,Male,High school,Very satisfied,Very important,50+
Under 25K,27.0,14,40.0,Female,Junior college,Mod satisfied,One of most important,18-29
Under 25K,32.0,20,60.0,Female,Bachelor,Mod satisfied,Very important,30-39
Over 25K,40.0,20,48.0,Male,Graduate,Very satisfied,One of most important,40-49
Over 25K,45.0,17,55.0,Female,Bachelor,Very satisfied,One of most important,40-49
Over 25K,26.0,12,40.0,Female,High school,Very satisfied,Very important,18-29
Over 25K,46.0,20,60.0,Female,Graduate,Very satisfied,One of most important,40-49
Under 25K,32.0,18,50.0,Female,Graduate,Mod satisfied,Very important,30-39
Over 25K,36.0,16,36.0,Male,Bachelor,Very satisfied,Very important,30-39
Under 25K,30.0,14,40.0,Female,High school,Very dissatisfied,Very important,30-39
Under 25K,51.0,12,35.0,Female,High school,Mod satisfied,Somewhat important,50+
Over 25K,40.0,19,45.0,Male,Graduate,Mod satisfied,Very important,40-49
Over 25K,51.0,16,60.0,Male,Bachelor,Very dissatisfied,Very important,50+
Under 25K,54.0,16,38.0,Female,Bachelor,Very satisfied,Very important,50+
Under 25K,27.0,16,40.0,Male,Bachelor,Mod satisfied,Very important,18-29
Over 25K,63.0,17,45.0,Male,Bachelor,Mod satisfied,Very important,50+
Over 25K,43.0,18,40.0,Female,Graduate,Very satisfied,One of most important,40-49
Over 25K,44.0,14,45.0,Female,Junior college,A little dissatisfied,Somewhat important,40-49
Over 25K,50.0,12,50.0,Male,High school,Very satisfied,Very important,50+
Under 25K,31.0,14,40.0,Female,High school,A little dissatisfied,One of most important,30-39
Over 25K,29.0,14,60.0,Male,Junior college,Very satisfied,Very important,18-29
Under 25K,30.0,11,45.0,Male,High school,Very satisfied,Very important,30-39
Over 25K,34.0,15,40.0,Male,Junior college,Very dissatisfied,Very important,30-39
Under 25K,63.0,12,36.0,Female,High school,Mod satisfied,Very important,50+
Under 25K,55.0,13,40.0,Female,High school,Very satisfied,Very important,50+
Under 25K,36.0,13,40.0,Male,High school,A little dissatisfied,One of most important,30-39
Over 25K,39.0,12,55.0,Male,High school,A little dissatisfied,One of most important,30-39
Under 25K,28.0,19,39.0,Female,Bachelor,Mod satisfied,One of most important,18-29
Over 25K,46.0,14,45.0,Female,High school,Mod satisfied,Very important,40-49
Over 25K,39.0,19,35.0,Female,Graduate,Very satisfied,One of most important,30-39
Over 25K,49.0,17,36.0,Male,Bachelor,Mod satisfied,Very important,40-49
Over 25K,56.0,18,40.0,Female,Graduate,Mod satisfied,One of most important,50+
Under 25K,28.0,12,42.0,Male,High school,Very satisfied,Very important,18-29
Under 25K,24.0,12,57.0,Male,High school,Mod satisfied,Very important,18-29
Over 25K,37.0,18,50.0,Female,Graduate,Very satisfied,Very important,30-39
Under 25K,48.0,12,40.0,Female,High school,A little dissatisfied,Somewhat important,40-49
Under 25K,49.0,15,25.0,Male,Junior college,Mod satisfied,Very important,40-49
Under 25K,36.0,9,44.0,Male,Less than HS,Mod satisfied,Somewhat important,30-39
Under 25K,35.0,12,40.0,Male,High school,Mod satisfied,Very important,30-39
Under 25K,36.0,12,40.0,Female,High school,Mod satisfied,Very important,30-39
Under 25K,37.0,13,40.0,Female,High school,A little dissatisfied,One of most important,30-39
Over 25K,55.0,14,40.0,Male,Junior college,Mod satisfied,Very important,50+
Over 25K,39.0,16,40.0,Male,Bachelor,Mod satisfied,Very important,30-39
Over 25K,72.0,12,40.0,Male,High school,Very satisfied,Very important,50+
Under 25K,52.0,18,45.0,Female,Bachelor,A little dissatisfied,Very important,50+
Over 25K,38.0,13,50.0,Female,High school,Very satisfied,Very important,30-39
